XDAC V1.4 Datafile V1
"srmndead.006" created on 2/6/09 at 10:38:38 PM on X-23A2
Diffraction element= Si (311).  Ring energy= 2.80 GeV
E0= 6539.00
NUM_REGIONS= 3
SRB= -50 -10 30 100
SRSS= 1 .3 1
SPP= 1 1 1
Settling time= 0.10


Offsets= 120.90 86.30 0.00 0.00 1.00 0.00 1.00 1.00 2.00 1.00 1.00 1.00 1.00 1.00
Gains= 8.00 9.00 8.00 8.00 8.00 8.00 8.00 8.00 8.00 8.00 8.00 8.00 8.00 8.00



--------------------------------------------------------------------------------
        Energy            I0            It          If20          If21          If22          If23          If24          If25          If26          If27          If30          If31          If32          If33
    6555.69878    12604.1000      439.7000   291976.0000   284108.0000   191132.0000   210820.0000   388527.0000   376317.0000   263156.0000   283156.0000   513283.0000   490900.0000   300259.0000   332225.0000
    6556.00174    12604.1000      407.7000   304387.0000   297569.0000   202088.0000   224280.0000   403728.0000   393083.0000   279291.0000   298770.0000   547777.0000   522219.0000   322307.0000   355767.0000
    6556.30056    12608.1000      384.7000   310856.0000   305894.0000   210790.0000   234835.0000   413655.0000   404369.0000   290816.0000   311884.0000   571112.0000   547321.0000   338478.0000   376118.0000
    6556.59941    12609.1000      359.7000   320432.0000   315308.0000   220594.0000   244845.0000   425861.0000   415635.0000   303257.0000   325110.0000   600137.0000   573154.0000   356639.0000   396299.0000
    6556.89828    12613.1000      337.7000   326030.0000   322916.0000   229542.0000   254397.0000   434462.0000   425410.0000   315104.0000   336511.0000   623940.0000   595910.0000   374428.0000   414791.0000
    6557.20132    12614.1000      308.7000   333511.0000   331733.0000   240958.0000   265117.0000   445245.0000   438021.0000   329769.0000   350693.0000   656908.0000   627788.0000   398085.0000   439452.0000
    6557.50023    12616.1000      292.7000   338463.0000   336516.0000   246559.0000   272472.0000   450463.0000   444713.0000   337474.0000   359996.0000   675632.0000   645875.0000   410415.0000   455145.0000
    6557.79916    12618.1000      279.7000   341149.0000   340517.0000   251718.0000   277874.0000   455204.0000   449050.0000   344747.0000   366752.0000   691852.0000   660830.0000   422357.0000   466761.0000
    6558.09811    12616.1000      271.7000   343432.0000   342967.0000   255625.0000   281741.0000   458468.0000   452417.0000   349665.0000   371675.0000   702248.0000   672136.0000   430400.0000   475827.0000
    6558.40123    12617.1000      267.7000   342324.0000   343878.0000   256765.0000   283074.0000   458548.0000   453723.0000   351428.0000   372733.0000   706060.0000   675398.0000   433676.0000   479193.0000
    6558.70022    12624.1000      268.7000   344627.0000   343757.0000   256463.0000   283294.0000   459556.0000   454184.0000   351529.0000   373261.0000   707890.0000   676051.0000   433331.0000   479570.0000
