Energy	INTENSITY
11.9912	0.0089566885
11.9953	0.0089763701
11.9993	0.0089875422
12.0034	0.0089795087
12.0075	0.0089971386
12.0116	0.0089826435
12.0158	0.0089847231
12.0199	0.0089945085
12.0241	0.008988481
12.0283	0.0089935455
12.0325	0.0089912396
12.0368	0.0089870328
12.041	0.0089986362
12.0453	0.0089924866
12.0496	0.0089919455
12.0539	0.0089875096
12.0582	0.0090119746
12.0626	0.009015834
12.0669	0.0090167578
12.0713	0.0090309903
12.0757	0.0090344418
12.0801	0.0090272948
12.0846	0.0090457248
12.089	0.0090485252
12.0935	0.0090352744
12.098	0.0090415515
12.1025	0.0090471916
12.1071	0.0090556145
12.1116	0.0090406295
12.1162	0.0090485457
12.1208	0.0090376996
12.1254	0.0090638828
12.1301	0.0090410504
12.1347	0.0090334462
12.1394	0.00903749
12.1441	0.0090288697
12.1488	0.0090425238
12.1535	0.0090460731
12.1583	0.0090395808
12.163	0.009037137
12.1678	0.0090407114
12.1726	0.009062022
12.1774	0.0090583693
12.1823	0.0090384502
12.1872	0.0090400316
12.192	0.0090356544
12.1969	0.0090403119
12.2019	0.0090283323
12.2068	0.0090293391
12.2117	0.0090240305
12.2167	0.0090361536
12.2217	0.009024512
12.2264	0.0090338979
12.2318	0.0090206964
12.2368	0.0090401405
12.2419	0.0090389214
12.247	0.0090283602
12.2521	0.0090545025
12.2572	0.0090407236
12.2624	0.0090526687
12.2675	0.0090492498
12.2727	0.0090570934
12.2779	0.0090803374
12.2831	0.0090902727
12.2884	0.0090871975
12.2937	0.0090801921
12.2989	0.0090935696
12.3042	0.0090888888
12.3096	0.0090947691
12.3149	0.0090863537
