
   Pt:    Z = 78;   Atomic weight = 195.0800 g/mol ;    nominal density:   [INLINE] = 2.1410E+01 g/cm3
          µa(barns/atom) = µ(cm2/g)  ×  3.23938E+02
          E(eV) µ(cm2/g) = f2(e/atom)  ×  2.15708E+05
          21 edges. Edge energies (keV):
          

  K      7.83948E+01  L I    1.38799E+01  L II   1.32726E+01  L III  1.15637E+01
  M I    3.29600E+00  M II   3.02650E+00  M III  2.64540E+00  M IV   2.20190E+00
  M V    2.12160E+00  N I    7.22000E-01  N II   6.09200E-01  N III  5.19000E-01
  N IV   3.30800E-01  N V    3.13300E-01  N VI   7.43000E-02  N VII  7.11000E-02
  O I    1.01700E-01  O II   6.53000E-02  O III  5.17000E-02  O IV   7.43991E-03
  O V    6.12538E-03

          Relativistic correction estimate frel (H82,3/5CL) = -1.6659E+00, -9.8160E-01 e/atom
          Nuclear Thomson correction fNT = -1.7109E-02 e/atom
     _________________________________________________________________________________________________________
   
   Form Factors, Attenuation and Scattering Cross-sections
   Z=78, E = 0.001 - 1000 keV

                                                              Attenuation
     E         f1            f2          µ           [INLINE] (coh+inc) Coefficient    µK       wavelength
     keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm

1.304285E+00  5.22314E+01  1.5054E+01  2.4896E+03  1.0822E+01  2.5004E+03  0.000E+00  9.506E-01
1.394281E+00  5.19673E+01  1.3892E+01  2.1493E+03  1.0962E+01  2.1603E+03  0.000E+00  8.892E-01
1.490486E+00  5.13123E+01  1.2745E+01  1.8444E+03  1.1071E+01  1.8555E+03  0.000E+00  8.318E-01
1.593329E+00  5.01859E+01  1.1722E+01  1.5869E+03  1.1149E+01  1.5980E+03  0.000E+00  7.781E-01
1.703269E+00  4.83657E+01  1.0808E+01  1.3688E+03  1.1194E+01  1.3800E+03  0.000E+00  7.279E-01
1.820795E+00  4.52984E+01  9.9909E+00  1.1836E+03  1.1208E+01  1.1948E+03  0.000E+00  6.809E-01
1.946430E+00  3.91171E+01  9.2574E+00  1.0259E+03  1.1190E+01  1.0371E+03  0.000E+00  6.370E-01
2.080733E+00  1.46829E+01  8.5963E+00  8.9117E+02  1.1141E+01  9.0231E+02  0.000E+00  5.959E-01
2.110992E+00 -1.88242E+01  8.4569E+00  8.6415E+02  1.1126E+01  8.7528E+02  0.000E+00  5.873E-01
2.119478E+00 -7.12447E+01  8.4187E+00  8.5680E+02  1.1122E+01  8.6792E+02  0.000E+00  5.850E-01
2.132208E+00  1.04274E+01  1.1086E+02  1.1215E+04  1.1115E+01  1.1226E+04  0.000E+00  5.815E-01
2.157862E+00  5.18687E+01  6.9501E+01  6.9475E+03  1.1101E+01  6.9586E+03  0.000E+00  5.746E-01
2.164032E+00  5.32839E+01  6.2390E+01  6.2190E+03  1.1098E+01  6.2301E+03  0.000E+00  5.729E-01
2.190891E+00  3.80129E+01  3.9963E+01  3.9346E+03  1.1082E+01  3.9457E+03  0.000E+00  5.659E-01
2.199698E+00  3.74032E+00  3.4875E+01  3.4199E+03  1.1077E+01  3.4310E+03  0.000E+00  5.636E-01
2.212910E+00  5.57720E+01  9.5443E+01  9.3035E+03  1.1069E+01  9.3146E+03  0.000E+00  5.603E-01
