
   Hg:    Z = 80;   Atomic weight = 200.5900 g/mol ;    nominal density:   [INLINE] = 1.3522E+01 g/cm3
          µa(barns/atom) = µ(cm2/g)  ×  3.33088E+02
          E(eV) µ(cm2/g) = f2(e/atom)  ×  2.09783E+05
          22 edges. Edge energies (keV):
          

  K      8.31023E+01  L I    1.48393E+01  L II   1.42087E+01  L III  1.22839E+01
  M I    3.56160E+00  M II   3.27850E+00  M III  2.84710E+00  M IV   2.38490E+00
  M V    2.29490E+00  N I    8.00300E-01  N II   6.76900E-01  N III  5.71000E-01
  N IV   3.78300E-01  N V    3.59800E-01  N VI   1.02200E-01  N VII  9.85000E-02
  O I    1.20300E-01  O II   8.05000E-02  O III  5.76000E-02  O IV   6.40000E-03
  O V    6.40000E-03  P I    7.71361E-03

          Relativistic correction estimate frel (H82,3/5CL) = -1.7805E+00, -1.0458E+00 e/atom
          Nuclear Thomson correction fNT = -1.7503E-02 e/atom
     _________________________________________________________________________________________________________
   
   Form Factors, Attenuation and Scattering Cross-sections
   Z=80, E = 0.001 - 1000 keV

                                                              Attenuation
     E         f1            f2          µ           [INLINE] (coh+inc) Coefficient    µK       wavelength
     keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm

1.027110E-01  1.97752E+01  4.5570E+00  9.3074E+03  5.4109E-01  9.3079E+03  0.000E+00  1.207E+01
1.033284E-01  1.98528E+01  4.5185E+00  9.1736E+03  5.4844E-01  9.1741E+03  0.000E+00  1.200E+01
1.042440E-01  1.99021E+01  4.4623E+00  8.9801E+03  5.5941E-01  8.9807E+03  0.000E+00  1.189E+01
1.104581E-01  1.98318E+01  4.1148E+00  7.8148E+03  6.3595E-01  7.8154E+03  0.000E+00  1.122E+01
1.178940E-01  1.94244E+01  3.8128E+00  6.7846E+03  7.3196E-01  6.7853E+03  0.000E+00  1.052E+01
1.180797E-01  1.94106E+01  3.8071E+00  6.7638E+03  7.3441E-01  6.7645E+03  0.000E+00  1.050E+01
1.196985E-01  1.92669E+01  3.7608E+00  6.5912E+03  7.5593E-01  6.5920E+03  0.000E+00  1.036E+01
1.201797E-01  1.91823E+01  3.7483E+00  6.5430E+03  7.6236E-01  6.5438E+03  0.000E+00  1.032E+01
1.209015E-01  1.91886E+01  3.8387E+00  6.6608E+03  7.7205E-01  6.6616E+03  0.000E+00  1.025E+01
1.227060E-01  1.91141E+01  3.8085E+00  6.5111E+03  7.9643E-01  6.5119E+03  0.000E+00  1.010E+01
1.262272E-01  1.88983E+01  3.7697E+00  6.2651E+03  8.4469E-01  6.2659E+03  0.000E+00  9.822E+00
1.349368E-01  1.82729E+01  3.7829E+00  5.8812E+03  9.6762E-01  5.8822E+03  0.000E+00  9.188E+00
1.442475E-01  1.75385E+01  3.9599E+00  5.7590E+03  1.1040E+00  5.7601E+03  0.000E+00  8.595E+00
1.542005E-01  1.67188E+01  4.3288E+00  5.8891E+03  1.2547E+00  5.8904E+03  0.000E+00  8.040E+00
1.648404E-01  1.58389E+01  4.9248E+00  6.2675E+03  1.4203E+00  6.2689E+03  0.000E+00  7.521E+00
1.762144E-01  1.49425E+01  5.7859E+00  6.8881E+03  1.6015E+00  6.8897E+03  0.000E+00  7.036E+00
1.883732E-01  1.40719E+01  6.9460E+00  7.7355E+03  1.7988E+00  7.7373E+03  0.000E+00  6.582E+00
2.013709E-01  1.33063E+01  8.4265E+00  8.7785E+03  2.0127E+00  8.7805E+03  0.000E+00  6.157E+00
2.152655E-01  1.27330E+01  1.0226E+01  9.9659E+03  2.2434E+00  9.9681E+03  0.000E+00  5.760E+00
2.301188E-01  1.24451E+01  1.2315E+01  1.1226E+04  2.4911E+00  1.1228E+04  0.000E+00  5.388E+00
