XDAC V1.4 Datafile V1
"MMCBr1_100.002" created on 11/18/2012 at 9:48:15 PM on X-23A2
Diffraction element= Si (311).  Ring energy= 2.80 GeV
E0= 13474.00
NUM_REGIONS= 6
SRB= -100 -30 -15 10 30 50 200
SRSS= 5 .5 .25 .5 1 5
SPP= 1 1 1 1 1 1
Settling time= 0.20


Offsets= 110.75 66.00 0.00 0.00 0.00 0.00 0.00 9.50 6.00 15.00 0.00 12.75 5.75 12.25 88.75 0.00
Gains= 8.00 8.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 8.00 1.00
oaks + Fe + Br- + H2O2 rinsed a lot


--------------------------------------------------------------------------------
        Energy            I0            It         Ifch1         Ifch2         Ifch3         Ifch4       Ifslow1       Ifslow2       Ifslow3       Ifslow4       Iffast1       Iffast2       Iffast3       Iffast4          Iref       IntTime
   13460.99935    24502.2500    11490.0000     3355.0000    38534.0000     3416.0000     3613.0000   154703.0000   191578.5000   188181.0000   182297.0000   190999.0000   212921.2500   206781.2500   202240.7500    16545.2500        1.0000
   13461.25230    24527.2500    11501.0000     3304.0000    38210.0000     3568.0000     3675.0000   153807.0000   192176.5000   188651.0000   181906.0000   189879.0000   213369.2500   207566.2500   201681.7500    16557.2500        1.0000
   13461.49860    24538.2500    11506.0000     3299.0000    38389.0000     3535.0000     3569.0000   155335.0000   192081.5000   188721.0000   182086.0000   191962.0000   213652.2500   207583.2500   201776.7500    16559.2500        1.0000
   13461.75155    24547.2500    11511.0000     3173.0000    38476.0000     3556.0000     3642.0000   154980.0000   192298.5000   188318.0000   182706.0000   190850.0000   213495.2500   207193.2500   202638.7500    16565.2500        1.0000
   13461.99785    24572.2500    11523.0000     3256.0000    38695.0000     3668.0000     3701.0000   155450.0000   191861.5000   188556.0000   182754.0000   191728.0000   213575.2500   207179.2500   202884.7500    16578.2500        1.0000
   13462.25080    24588.2500    11532.0000     3364.0000    38405.0000     3595.0000     3704.0000   154810.0000   192882.5000   188905.0000   182555.0000   191054.0000   214664.2500   207710.2500   202681.7500    16587.2500        1.0000
   13462.49710    24594.2500    11537.0000     3385.0000    38398.0000     3642.0000     3711.0000   155173.0000   192481.5000   188850.0000   183006.0000   191628.0000   214160.2500   207481.2500   202951.7500    16588.2500        1.0000
   13462.75006    24592.2500    11535.0000     3453.0000    38572.0000     3650.0000     3770.0000   155542.0000   193073.5000   189084.0000   182806.0000   192172.0000   214710.2500   208100.2500   202989.7500    16581.2500        1.0000
   13463.00302    24584.2500    11531.0000     3403.0000    38646.0000     3758.0000     3753.0000   154777.0000   192735.5000   189033.0000   182193.0000   191162.0000   214358.2500   208011.2500   201949.7500    16571.2500        1.0000
   13463.24932    24576.2500    11527.0000     3407.0000    38459.0000     3605.0000     3708.0000   155062.0000   192938.5000   189417.0000   182441.0000   191442.0000   214576.2500   208242.2500   202378.7500    16561.2500        1.0000
   13463.50228    24464.2500    11476.0000     3340.0000    38224.0000     3682.0000     3752.0000   154283.0000   191834.5000   188151.0000   181967.0000   190209.0000   213339.2500   207006.2500   201629.7500    16480.2500        1.0000
