XDAC V1.4 Datafile V1
"cu_kmdg1.020" created on 6/22/2012 at 5:46:29 AM on X-23A2
Diffraction element= Si (311).  Ring energy= 2.80 GeV
E0= 8979.00
NUM_REGIONS= 4
SRB= -200 -30 30 60 13k
SRSS= 10 0.5 0.05k 0.05k
SPP= 1 1 1 0.25k
Settling time= 0.20


Offsets= 115.00 54.25 0.00 0.00 0.00 0.00 10.50 5.25 5.25 5.25 12.25 10.75 5.25 10.50 98.00 0.00
Gains= 8.00 9.00 0.00 0.00 0.00 0.00 0.00 8.00 8.00 8.00 0.00 8.00 8.00 8.00 10.00 1.00
Green glass KMDG1


--------------------------------------------------------------------------------
        Energy            I0            It         Ifch1         Ifch2         Ifch3         Ifch4       Ifslow1       Ifslow2       Ifslow3       Ifslow4       Iffast1       Iffast2       Iffast3       Iffast4          Iref       IntTime
    8989.50206     4689.0000        2.7500    47415.0000    41490.0000    32496.0000    39325.0000   131208.5000   118295.7500    93684.7500   108176.7500   140305.7500   125373.2500    97812.7500   114068.5000        1.0000        1.0000
    8989.99741     4690.0000        2.7500    49503.0000    43472.0000    34179.0000    41326.0000   133572.5000   120534.7500    95281.7500   110475.7500   143002.7500   127979.2500    99474.7500   116537.5000        2.0000        1.0000
    8990.49841     4691.0000        3.7500    52390.0000    45265.0000    36149.0000    43434.0000   136822.5000   123567.7500    97409.7500   112589.7500   146874.7500   131237.2500   101860.7500   118931.5000        1.0000        1.0000
    8990.99943     4691.0000        2.7500    54869.0000    48046.0000    37723.0000    45112.0000   139770.5000   125875.7500    99521.7500   114956.7500   150087.7500   133979.2500   104213.7500   121741.5000        2.0000        1.0000
    8991.50047     4688.0000        2.7500    57814.0000    50301.0000    39905.0000    48006.0000   142569.5000   128455.7500   101908.7500   117957.7500   153425.7500   137012.2500   106943.7500   124972.5000        1.0000        1.0000
    8992.00152     4693.0000        2.7500    62155.0000    53926.0000    43144.0000    51663.0000   147261.5000   133224.7500   105675.7500   122476.7500   159375.7500   142504.2500   110833.7500   130319.5000        2.0000        1.0000
    8992.50259     4697.0000        2.7500    67023.0000    58211.0000    46499.0000    55634.0000   152891.5000   137163.7500   109284.7500   127203.7500   165790.7500   146926.2500   114963.7500   135459.5000        1.0000        1.0000
    8992.99805     4693.0000        2.7500    71270.0000    62537.0000    49656.0000    59202.0000   157704.5000   142337.7500   113182.7500   131319.7500   171455.7500   153116.2500   119365.7500   140254.5000        1.0000        1.0000
    8993.49915     4690.0000        3.7500    75433.0000    66259.0000    53067.0000    63588.0000   162484.5000   146445.7500   117166.7500   135772.7500   177159.7500   157812.2500   123746.7500   145342.5000        2.0000        1.0000
    8994.00027     4685.0000        2.7500    77686.0000    68202.0000    54693.0000    65786.0000   165193.5000   149264.7500   119067.7500   138071.7500   180535.7500   161264.2500   125873.7500   148323.5000        1.0000        1.0000
    8994.50141     4687.0000        3.7500    81041.0000    71411.0000    56768.0000    67440.0000   168863.5000   152527.7500   121614.7500   141033.7500   184903.7500   164766.2500   128719.7500   151679.5000        1.0000        1.0000
